start_id,end_id,type
11861039,Kalpit,PATENTED_BY
11861039,Alok Kumar,PATENTED_BY
11861039,Sunil,PATENTED_BY
11861039,Yaser,PATENTED_BY
11861041,Goodsitt,PATENTED_BY
11861041,Kwak,PATENTED_BY
11861041,Walters,PATENTED_BY
11861041,Key,PATENTED_BY
11861041,Rafferty,PATENTED_BY
11861041,Truong,PATENTED_BY
11861041,Pham,PATENTED_BY
11861041,Austin,PATENTED_BY
11861041,Ernest,PATENTED_BY
11861041,Kate,PATENTED_BY
11861041,Galen,PATENTED_BY
11861041,Anh,PATENTED_BY
11861041,Vincent,PATENTED_BY
11861041,Alvin,PATENTED_BY
11861041,Jeremy Hua,PATENTED_BY
11861042,Richard Jay Langley,PATENTED_BY
11861066,Jung,PATENTED_BY
11861066,Son,PATENTED_BY
11861066,Kim,PATENTED_BY
11861066,Lee,PATENTED_BY
11861066,Sangyoon,PATENTED_BY
11861066,Yeonsu,PATENTED_BY
11861066,Geehyuk,PATENTED_BY
11861066,Sunmin Lee,PATENTED_BY
11861066,Jingun,PATENTED_BY
11861135,Neil L.,PATENTED_BY
11861135,Seth David Hoopingarner,PATENTED_BY
11861135,Filip,PATENTED_BY
11861136,"Sorrentino, III",PATENTED_BY
11861136,Yerkes,PATENTED_BY
11861136,HOLDER,PATENTED_BY
11861136,William A. Faulkner,PATENTED_BY
11861136,Lemay,PATENTED_BY
11861136,Stephen O.,PATENTED_BY
11861136,Wesley M.,PATENTED_BY
11861136,Israel,PATENTED_BY
11861136,Jeffrey M.,PATENTED_BY
11861136,Giancarlo,PATENTED_BY
11861136,Pastrana Vicente,PATENTED_BY
11861150,Jeffrey,PATENTED_BY
11861150,Paul Erich Huang,PATENTED_BY
11861150,Keel,PATENTED_BY
11861166,Boris Glimcher,PATENTED_BY
11861175,Papandreou,PATENTED_BY
11861175,Fry,PATENTED_BY
11861175,Nikolas,PATENTED_BY
11861175,Brown,PATENTED_BY
11861175,Ioannou,PATENTED_BY
11861175,Pozidis,PATENTED_BY
11861175,Pletka,PATENTED_BY
11861175,Roman A.,PATENTED_BY
11861175,Charalampos,PATENTED_BY
11861175,Nikolaos,PATENTED_BY
